Ident,YearRead,Book,Author,Rating,YearWritten,AuthorGender,Pages,Type,Origin,Where
1,2017,Snow Crash,Neal Stephenson,2,1992,M,480,Fiction,borrowed,person
2,2017,Das Fliegende Klassenzimmer,Erich Kaestner,3.5,1933,M,176,Fiction,mine,gift
3,2017,The Unknown Huntsman,Jean-Michel-Fortier,1.5,2014,M,162,Fiction,borrowed,library
4,2017,Transition,Iain M Banks,4,2009,M,404,Fiction,borrowed,person
5,2017,Dear Mr. M,Herman Koch,3,2014,M,400,Fiction,borrowed,library
6,2017,Poisonwood Bible,Barbara Kingsolver,5,1998,F,546,Fiction,borrowed,person
7,2017,Look at Me,Jennifer Egan,3.5,2001,F,417,Fiction,mine,bought
8,2017,The Left Hand of Darkness,Ursula K. Le Guin,3,1969,F,304,Fiction,borrowed,person
9,2017,Vampires in the Lemon Grove,Karen Russell,3,2013,F,243,Short Stories,mine,bought
10,2017,NW,Zadie Smith,2.5,2012,F,296,Fiction,mine,bought
11,2017,The Song of Achilles,Madeline Miller,3.5,2011,F,352,Fiction,mine,bought
12,2017,Americanah,Chimamanda Ngozi Adichie,3.5,2013,F,477,Fiction,mine,bought
13,2017,My Absolute Darling,Gabriel Tallent,3,2017,M,417,Fiction,borrowed,person
14,2017,Beyond Black,Hilary Mantel,2,2005,F,432,Fiction,borrowed,library
15,2017,Alone in Berlin,Hans Fallada,4,1947,M,668,Fiction,borrowed,library
16,2017,The Narrow Road to the Deep North,Richard Flanagan,4,2013,M,467,Fiction,mine,bought
17,2017,The Last Werewolf,Glen Duncan,3,2011,M,353,Fiction,borrowed,library
18,2017,The Sense of and Ending,Julian Barnes,4.5,2011,M,150,Fiction,borrowed,library
19,2017,The Yiddish Policeman's Union,Michael Chabon,5,2007,M,414,Fiction,borrowed,library
20,2017,Middlesex,Jeffrey Eugenides,3.5,2002,M,529,Fiction,borrorwed,person
21,2017,Exit West,Mohsin Hamid,3,2017,M,231,Fiction,mine,gift
22,2018,Commonwealth,Ann Patchett,3.5,2016,F,322,Fiction,borrowed,library
23,2018,Dance Dance Dance,Haruki Murakami,2.5,2002,M,393,Fiction,borrowed,person
24,2018,The Yid,Paul Goldberg,2,2016,M,336,Fiction,borrowed,library
25,2018,In the Land of Armadillos,Helen Maryles Shankman,4,2016,F,304,Short Stories,borrowed,library
26,2018,The Rehearsal,Eleanor Catton,4,2008,F,312,Fiction,borrowed,library
27,2018,Brother I'm Dying,Edwidge Danticat,2,2007,F,272,Fiction,mine,bought
28,2018,The Virgin Suicides,Jeffrey Eugenides,4,1993,M,250,Fiction,borrowed,person
29,2018,Trumpet,Jackie Kay,3.5,1998,F,278,Fiction,mine,gift
30,2018,Such Small Hands,Andres Barba,3.5,2008,M,108,Fiction,borrowed,library
31,2018,"Your Fathers, Where are They? And the Prophets, do They Live Forever?",Dave Eggers,3,2014,M,212,Fiction,borrowed,library
32,2018,Generation Kill,Edward Wright,4,2004,M,384,Nonfiction,borrowed,library
